time,voltage
3039.6,-29.51901061
3039.7,-29.58319894
3039.8,-29.65098411
3039.9,-29.72233799
3040,-29.79723125
3040.1,-29.8756334
3040.2,-29.95751279
3040.3,-30.04283661
3040.4,-30.13157093
3040.5,-30.22368067
3040.6,-30.31912967
3040.7,-30.41788065
3040.8,-30.51989524
3040.9,-30.62513402
3041,-30.7335565
3041.1,-30.84512116
3041.2,-30.95978543
3041.3,-31.07750575
3041.4,-31.19823756
3041.5,-31.32193531
3041.6,-31.44855252
3041.7,-31.57804172
3041.8,-31.71035455
3041.9,-31.84544171
3042,-31.98325303
3042.1,-32.12373746
3042.2,-32.26684308
3042.3,-32.41251716
3042.4,-32.56070614
3042.5,-32.71135564
3042.6,-32.86441054
3042.7,-33.01981494
3042.8,-33.17751221
3042.9,-33.33744499
3043,-33.49955524
3043.1,-33.66378423
3043.2,-33.83007259
3043.3,-33.99836031
3043.4,-34.16858677
3043.5,-34.34069077
3043.6,-34.51461052
3043.7,-34.69028372
3043.8,-34.86764752
3043.9,-35.04663859
3044,-35.22719312
3044.1,-35.40924683
3044.2,-35.59273505
3044.3,-35.77759266
3044.4,-35.96375419
3044.5,-36.1511538
3044.6,-36.33972531
3044.7,-36.52940226
3044.8,-36.72011785
3044.9,-36.91180508
3045,-37.10439666
3045.1,-37.29782513
3045.2,-37.4920228
3045.3,-37.68692184
3045.4,-37.88245429
3045.5,-38.07855206
3045.6,-38.27514696
3045.7,-38.47217076
3045.8,-38.66955518
3045.9,-38.8672319
3046,-39.06513264
3046.1,-39.26318916
3046.2,-39.46133323
3046.3,-39.65949676
3046.4,-39.85761173
3046.5,-40.05561027
3046.6,-40.25342466
3046.7,-40.45098736
3046.8,-40.64823105
3046.9,-40.84508861
3047,-41.04149321
3047.1,-41.23737828
3047.2,-41.43267756
3047.3,-41.6273251
3047.4,-41.82125533
3047.5,-42.01440302
3047.6,-42.20670338
3047.7,-42.398092
3047.8,-42.58850494
3047.9,-42.77787872
3048,-42.96615035
3048.1,-43.15325737
3048.2,-43.33913784
3048.3,-43.52373037
3048.4,-43.70697417
3048.5,-43.88880905
3048.6,-44.06917544
3048.7,-44.24801442
3048.8,-44.42526774
3048.9,-44.60087783
3049,-44.77478783
3049.1,-44.94694163
3049.2,-45.11728384
3049.3,-45.28575986
3049.4,-45.45231589
3049.5,-45.61689892
3049.6,-45.77945678
3049.7,-45.93993813
3049.8,-46.09829253
3049.9,-46.25447039
3050,-46.40842305
3050.1,-46.56010276
3050.2,-46.70946269
3050.3,-46.856457
3050.4,-47.00104079
3050.5,-47.14317017
3050.6,-47.28280223
3050.7,-47.41989509
3050.8,-47.55440792
3050.9,-47.68630092
3051,-47.81553535
3051.1,-47.94207355
3051.2,-48.06587897
3051.3,-48.18691613
3051.4,-48.3051507
3051.5,-48.42054945
3051.6,-48.53308032
3051.7,-48.64271237
3051.8,-48.74941585
3051.9,-48.85316218
3052,-48.95392396
3052.1,-49.05167498
3052.2,-49.14639023
3052.3,-49.23804594
3052.4,-49.32661954
3052.5,-49.41208968
3052.6,-49.49443628
3052.7,-49.57364048
3052.8,-49.64968468
3052.9,-49.72255253
3053,-49.79222895
3053.1,-49.85870014
3053.2,-49.92195355
3053.3,-49.98197793
3053.4,-50.03876331
3053.5,-50.09230099
3053.6,-50.14258357
3053.7,-50.18960496
3053.8,-50.23336033
3053.9,-50.27384616
3054,-50.31106025
3054.1,-50.34500167
3054.2,-50.37567079
3054.3,-50.40306929
3054.4,-50.42720014
3054.5,-50.44806761
3054.6,-50.46567726
3054.7,-50.48003596
3054.8,-50.49115184
3054.9,-50.49903434
3055,-50.50369417
3055.1,-50.50514334
3055.2,-50.50339511
3055.3,-50.49846403
3055.4,-50.49036591
3055.5,-50.47911781
3055.6,-50.46473806
3055.7,-50.44724622
3055.8,-50.4266631
3055.9,-50.40301074
3056,-50.3763124
3056.1,-50.34659256
3056.2,-50.3138769
3056.3,-50.27819231
3056.4,-50.23956686
3056.5,-50.19802979
3056.6,-50.15361151
3056.7,-50.10634359
3056.8,-50.05625875
3056.9,-50.00339083
3057,-49.9477748
3057.1,-49.88944672
3057.2,-49.82844376
3057.3,-49.76480417
3057.4,-49.69856726
3057.5,-49.62977339
3057.6,-49.55846397
3057.7,-49.48468142
3057.8,-49.40846917
3057.9,-49.32987165
3058,-49.24893425
3058.1,-49.16570334
3058.2,-49.08022621
3058.3,-48.99255108
3058.4,-48.9027271
3058.5,-48.81080427
3058.6,-48.71683349
3058.7,-48.62086651
3058.8,-48.5229559
3058.9,-48.42315505
3059,-48.32151817
3059.1,-48.2181002
3059.2,-48.11295687
3059.3,-48.00614465
3059.4,-47.89772069
3059.5,-47.78774286
3059.6,-47.6762697
3059.7,-47.56336041
3059.8,-47.44907481
3059.9,-47.33347331
3060,-47.21661695
3060.1,-47.0985673
3060.2,-46.97938648
3060.3,-46.85913715
3060.4,-46.73788244
3060.5,-46.61568596
3060.6,-46.49261178
3060.7,-46.36872439
3060.8,-46.2440887
3060.9,-46.11876998
3061,-45.99283386
3061.1,-45.86634631
3061.2,-45.73937362
3061.3,-45.61198233
3061.4,-45.48423929
3061.5,-45.35621154
3061.6,-45.22796635
3061.7,-45.0995712
3061.8,-44.9710937
3061.9,-44.84260161
3062,-44.71416281
3062.1,-44.58584527
3062.2,-44.45771701
3062.3,-44.3298461
3062.4,-44.20230064
3062.5,-44.07514869
3062.6,-43.9484583
3062.7,-43.82229746
3062.8,-43.69673405
3062.9,-43.57183587
3063,-43.44767057
3063.1,-43.32430566
3063.2,-43.20180846
3063.3,-43.08024607
3063.4,-42.95968537
3063.5,-42.84019299
3063.6,-42.72183527
3063.7,-42.60467826
3063.8,-42.48878765
3063.9,-42.37422883
3064,-42.26106676
3064.1,-42.14936604
3064.2,-42.03919082
3064.3,-41.93060484
3064.4,-41.82367132
3064.5,-41.71845304
3064.6,-41.61501222
3064.7,-41.51341057
3064.8,-41.41370924
